fare_amount,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,hourofday,dayofweek
5.5,1,-73.97386,40.76409,-73.97399999999999,40.757775,22,2
5.3,1,-73.980397,40.7754,-73.986006,40.762097,15,6
4.5,1,-74.003325,40.72846,-74.008687,40.726703,14,1
10.0,1,-73.984925,40.74818,-74.00088199999999,40.727472,14,3
8.1,3,-73.983703,40.739128,-73.988063,40.723633,22,4
6.5,1,-73.994865,40.745047,-73.981064,40.734014,7,0
3.7,1,-73.99574799999999,40.72339,-73.99219699999999,40.724979,21,1
57.33,4,-73.985699,40.760878000000005,-73.790421,40.646803999999996,15,5
7.3,1,-73.97004100000001,40.758365999999995,-73.985523,40.753206,7,1
6.0,3,-73.953192,40.736802000000004,-73.951187,40.742922,20,0
4.5,1,-73.971853,40.760302,-73.974788,40.75636,12,1
5.3,1,-74.006926,40.743932,-74.000001,40.761624,1,5
8.5,2,-73.984002,40.724061999999996,-73.99740200000001,40.71668,12,1
10.5,1,-73.957154,40.782869,-73.982652,40.782228,14,4
57.33,6,-74.002057,40.740137,-73.785907,40.650682,11,2
6.5,1,-73.96627099999999,40.757887,-73.977237,40.736788,18,0
5.0,5,-73.976465,40.739742,-73.97988000000001,40.745777000000004,17,5
5.3,1,-73.982192,40.778197,-73.982223,40.767720000000004,4,6
14.1,1,-73.981507,40.744868,-73.97739200000001,40.78431,2,6
8.5,1,-73.988683,40.722671000000005,-73.992714,40.748049,14,1
20.0,2,-73.96808624,40.75960541,-73.95045471,40.82160568,20,2
15.5,1,-73.977756,40.759653,-73.923087,40.760919,8,0
23.0,1,-73.98564148,40.72718811,-73.97995758,40.65503311,17,1
49.57,2,-73.789242,40.654918,-73.980804,40.745552,19,2
6.1,1,-73.966858,40.760921999999994,-73.96320899999999,40.770466,6,3
7.0,1,-73.97406769,40.73730087,-73.9826355,40.74251938,21,1
10.0,1,-73.983452,40.726122,-74.00505,40.707372,6,3
6.5,2,-73.996672,40.753042,-73.990338,40.740588,18,0
8.1,1,-74.00440400000001,40.737912,-74.015376,40.71501,22,2
8.9,2,-73.977845,40.742038,-74.00073499999999,40.735977,16,4
3.3,1,-73.97479399999999,40.758258000000005,-73.975323,40.76132,18,5
4.5,1,-73.95853000000001,40.768833,-73.954365,40.772259999999996,8,1
10.0,1,-73.951963,40.781802,-73.970117,40.799527000000005,21,4
30.3,2,-73.875292,40.771477000000004,-73.94689699999999,40.7711,2,6
38.5,1,-73.981697,40.728365000000004,-74.030342,40.625219,21,0
8.5,1,-73.9913,40.744712,-73.971108,40.758912,18,1
16.9,3,-73.95456,40.784502,-73.997773,40.741762,2,6
10.5,1,-73.982304,40.751404,-73.986641,40.722435,18,0
7.5,1,-73.981725,40.762722,-73.973332,40.755196999999995,0,4
4.5,5,-73.994912,40.750143,-73.99103000000001,40.760002,16,0
13.0,6,-73.998825,40.74475,-73.98406999999999,40.746322,0,4
2.9,1,-73.986684,40.761992,-73.984329,40.765240999999996,19,4
7.3,1,-73.994212,40.745944,-73.991088,40.765776,16,0
5.3,1,-73.967617,40.768549,-73.982117,40.775416,8,3
12.5,1,-74.000516,40.722159000000005,-73.993794,40.764745,22,5
10.0,1,-73.98344200000001,40.764438,-73.95265500000001,40.773237,21,4
12.5,2,-73.949012,40.796857,-73.938358,40.749308,18,4
10.0,1,-74.00744399999999,40.715485,-73.98423299999999,40.754653000000005,19,0
9.0,1,-73.978895,40.783425,-73.98853299999999,40.76177,17,1
10.0,1,-73.978052,40.783007,-73.982158,40.764972,18,6
8.1,1,-73.957925,40.78477,-73.979191,40.766966,14,4
11.7,1,-73.97731,40.762452,-73.957728,40.733507,22,2
7.3,1,-74.00749,40.725708000000004,-74.009877,40.705365,20,1
9.5,1,-73.982977,40.76115,-73.983078,40.747552,13,2
5.3,1,-73.97744,40.774297,-73.98007199999999,40.761925,9,3
10.9,2,-73.975522,40.755213,-73.974968,40.787795,20,2
12.0,1,-73.99648,40.748129999999996,-73.972607,40.786582,17,2
4.5,1,-73.990868,40.734412,-73.995719,40.727956,20,3
6.0,2,-73.97861999999999,40.7597,-73.983088,40.763076,18,0
45.0,1,-73.97444,40.746433,-73.97444,40.746433,8,0
10.0,1,-73.98719799999999,40.736228000000004,-73.96038,40.767979,19,0
40.04,1,-73.97111511,40.7562294,-73.86478424,40.77031708,15,5
7.5,1,-73.9874,40.760484999999996,-73.982887,40.777212,21,5
8.9,2,-73.990659,40.755886,-73.98168100000001,40.736674,22,4
4.5,4,-73.98348,40.765927000000005,-73.972842,40.76415,7,2
13.5,1,-73.995795,40.738592,-73.98429,40.72155,13,6
8.5,1,-73.96109399999999,40.774599,-73.971733,40.755224,0,6
17.5,1,-74.00474399999999,40.723368,-73.948001,40.72932,13,4
5.3,1,-73.990581,40.761189,-74.000176,40.74816,7,3
6.5,1,-73.97916500000001,40.760528,-73.990381,40.750544,21,5
4.9,1,-73.99847700000001,40.740131,-73.98716800000001,40.733902,20,4
6.1,1,-73.999172,40.754742,-73.99029,40.769983,19,2
5.3,2,-73.967205,40.756902000000004,-73.95878,40.768271999999996,9,6
5.5,6,-73.961112,40.760837,-73.96844,40.760857,1,5
4.5,3,-73.953724,40.772863,-73.952264,40.781228000000006,21,4
9.5,1,-73.95398399999999,40.770641,-73.97579300000001,40.75189,16,0
7.3,1,-73.999477,40.728243,-74.00195699999999,40.708177,20,2
3.7,1,-73.982034,40.754698,-73.978083,40.761546,12,2
8.5,3,-73.977724,40.752184,-73.953147,40.772566999999995,20,5
11.0,1,-74.008604,40.719981,-73.98783,40.732352,18,6
9.5,5,-74.009078,40.713475,-73.997692,40.741572999999995,22,4
4.1,1,-73.988013,40.718782,-73.98186700000001,40.724646,15,0
8.5,1,-74.002402,40.72916,-74.01145600000001,40.70749,23,2
8.0,1,-73.97026,40.762427,-73.959562,40.778627,0,6
12.0,1,-74.00769,40.751567,-73.97981700000001,40.744037,7,3
14.5,2,-73.967287,40.78821,-73.992315,40.737265,3,2
8.0,5,-74.004627,40.725352,-74.00780300000001,40.7058,8,3
11.5,2,-73.969192,40.749596000000004,-73.949991,40.785506,8,5
7.5,1,-73.987845,40.743927,-73.982327,40.760837,16,3
4.0,1,-73.972256,40.743362,-73.97756700000001,40.746738,13,4
10.0,1,-73.985772,40.760342,-73.98787,40.759082,14,3
11.5,6,-73.983313,40.766695,-73.996092,40.753695,10,4
3.7,1,-74.00179,40.735533000000004,-73.994703,40.731609999999996,14,4
8.5,1,-73.9659,40.756122999999995,-73.991163,40.750607,0,6
7.3,1,-73.963862,40.774042,-73.972858,40.764495000000004,10,5
15.0,3,-73.961988,40.805593,-73.98461800000001,40.769626,8,3
8.5,6,-73.981312,40.780986999999996,-73.966335,40.764623,22,3
5.3,1,-74.000527,40.762299,-73.987778,40.768148,19,1
45.0,5,-73.965003,40.711475,-73.993723,40.720240000000004,19,2
7.0,1,-73.96185799999999,40.770967,-73.964005,40.757852,21,1
6.5,1,-73.983537,40.726067,-73.993155,40.722632,16,2
8.5,1,-73.959542,40.764245,-73.952387,40.786066999999996,14,6
17.5,1,-74.013189,40.705177,-73.975894,40.75143,5,4
9.3,5,-73.977812,40.787040000000005,-74.000715,40.747403000000006,2,3
8.5,1,-73.984502,40.745816999999995,-73.980215,40.760453000000005,0,6
5.5,1,-73.993195,40.742188,-73.996257,40.753384999999994,21,0
12.0,1,-74.00250244,40.73039627,-73.98295593,40.76419067,19,0
20.9,1,-73.95729399999999,40.770216,-73.993574,40.721651,23,1
6.5,1,-73.97678,40.785346999999994,-73.954353,40.778595,11,0
8.0,1,-73.986745,40.766742,-73.96295500000001,40.766296999999994,11,1
8.0,1,-73.98805237,40.77487946,-73.97362518,40.79469299,3,6
7.3,1,-73.98028199999999,40.765145000000004,-73.95973000000001,40.775107,12,6
14.5,1,-73.998293,40.745478000000006,-73.94896800000001,40.802884999999996,16,6
14.1,2,-73.959769,40.777351,-73.983465,40.734375,21,3
4.5,2,-73.973513,40.784597999999995,-73.983405,40.780491999999995,10,6
10.5,1,-73.992855,40.758936,-73.990769,40.724325,20,2
12.0,1,-73.975842,40.759975,-74.004469,40.732075,17,2
5.5,1,-73.949057,40.711147,-73.952908,40.706777,16,2
5.0,1,-73.994619,40.745553,-73.992355,40.738456,8,3
6.1,2,-73.99140799999999,40.737488,-73.98843199999999,40.727588,20,2
8.5,1,-73.992298,40.749607,-73.986417,40.736167,14,6
4.5,2,-73.993486,40.746424,-73.99785899999999,40.736851,8,6
6.5,1,-73.987672,40.736107000000004,-74.003342,40.742717,8,2
6.0,1,-73.96057892,40.772346500000005,-73.96159363,40.76607513,16,4
14.5,1,-73.93226800000001,40.751195,-73.93645699999999,40.749687,10,3
22.9,1,-73.863247,40.769617,-73.986285,40.715697,23,1
7.5,1,-73.96206600000001,40.662771,-73.95840799999999,40.680585,13,0
9.3,3,-73.979763,40.760958,-73.97466800000001,40.73789,11,6
11.5,3,-73.994547,40.760915000000004,-73.95461800000001,40.783916999999995,14,2
6.1,1,-73.998233,40.745652,-73.986385,40.762132,19,4
13.5,1,-73.9622,40.713188,-73.940206,40.750419,17,1
5.0,1,-73.983897,40.725865999999996,-73.985486,40.723539,16,0
16.9,2,-73.99821800000001,40.761173,-73.986939,40.716004999999996,22,1
11.0,1,-74.00476074,40.75183487,-74.00914764,40.71867371,12,6
7.5,1,-73.989705,40.762547,-74.00774799999999,40.741046999999995,7,6
5.5,5,-73.924968,40.761832,-73.91383,40.765145000000004,17,5
15.0,1,-73.96248,40.778537,-73.970575,40.767332,19,6
4.5,2,-73.967485,40.76591,-73.961712,40.768532,12,1
17.7,1,-73.987437,40.755868,-73.94848499999999,40.724545,9,1
34.0,1,-73.93396800000001,40.86398,-73.99933,40.733442,23,5
7.0,1,-73.99350799999999,40.742182,-73.979359,40.753227,13,2
6.0,2,-74.006315,40.712144,-73.999438,40.715803,11,4
9.3,5,-73.948915,40.772482000000004,-73.93562299999999,40.803628,12,5
57.33,5,-73.782186,40.644631,-73.971864,40.757003999999995,0,4
9.5,1,-73.97787476,40.75901031,-73.96387482,40.77334976,17,5
34.8,1,-73.999478,40.761404999999996,-73.870993,40.773965000000004,0,6
11.0,1,-73.99241500000001,40.7484,-73.971188,40.748288,18,6
59.33,1,-74.00034699999999,40.756766999999996,-73.87005,40.773087,13,0
10.0,2,-73.952814,40.786626,-73.970485,40.758949,17,1
6.0,2,-73.990277,40.740666,-74.00697199999999,40.730821,7,5
8.1,1,-73.96998,40.74878,-73.947327,40.779803,20,1
74.83,1,-73.776772,40.645432,-73.866775,40.882902,15,5
8.5,4,-73.9834,40.76765,-73.99132,40.74977,11,2
12.0,2,-74.01178,40.720377,-73.99239,40.735622,14,0
22.5,1,-74.00249699999999,40.731286,-73.91434699999999,40.756709,19,0
9.7,1,-73.991343,40.74989,-73.97320500000001,40.76396,22,3
4.5,5,-73.991117,40.717802,-73.983707,40.721708,21,2
8.0,1,-73.99162700000001,40.761138,-73.980182,40.76595,21,0
11.0,1,-73.99516,40.739702,-73.97553,40.756921999999996,18,1
5.0,1,-73.956097,40.779044,-73.95790500000001,40.784643,19,1
5.3,1,-73.993673,40.745537,-73.9892,40.751332,14,2
6.5,5,-74.007212,40.743452000000005,-73.988342,40.740202000000004,19,5
7.3,2,-73.9823,40.762296,-73.969412,40.757992,12,1
20.0,1,-74.00450500000001,40.742134,-73.961149,40.8137,1,5
5.0,2,-73.96350699999999,40.768652,-73.96933,40.76358,4,4
10.5,1,-73.984402,40.725021000000005,-73.976677,40.751917999999996,14,4
8.0,1,-73.95873,40.772481,-73.939104,40.799795,4,4
49.8,1,-73.776663,40.645367,-73.98151800000001,40.780415000000005,8,2
20.5,1,-73.987445,40.733487,-73.99976,40.761493,11,1
5.0,1,-73.978173,40.762177,-73.984874,40.748166,11,0
13.0,1,-73.988562,40.757512,-73.988315,40.758447,17,0
13.0,1,-73.975914,40.751063,-73.979348,40.772808000000005,21,4
12.5,3,-73.95578003,40.80392838,-73.95565796,40.77231598,23,6
6.5,1,-73.993624,40.736345,-74.00238900000001,40.725989,10,5
26.5,1,-73.952843,40.786407000000004,-73.985753,40.7463,22,1
6.1,1,-74.004395,40.722792999999996,-73.990177,40.724942,19,1
5.7,2,-73.980672,40.76482,-73.979652,40.772822999999995,18,2
6.0,1,-73.980751,40.751108,-73.973078,40.743614,11,2
8.0,1,-73.98342199999999,40.730086,-74.001951,40.732642,8,6
6.9,5,-73.935902,40.799462,-73.955572,40.787832,9,2
12.5,1,-73.9462,40.7802,-73.936,40.8119,13,1
10.9,2,-74.00506999999999,40.741191,-73.973788,40.756145000000004,20,2
6.5,1,-73.97908699999999,40.776934999999995,-73.982055,40.765361999999996,3,3
12.5,2,-73.989345,40.760543,-73.924437,40.743656,9,5
6.5,1,-73.974598,40.756989000000004,-73.991238,40.75029,23,2
13.0,5,-73.972595,40.75595,-73.980867,40.762752,3,2
10.5,1,-73.971949,40.758191,-73.994845,40.733821,14,4
6.1,3,-73.97968900000001,40.765966,-73.972657,40.780674,20,3
6.1,1,-73.982895,40.766408,-73.982562,40.759758000000005,16,2
13.5,1,-73.99758911,40.72154617,-73.99339294,40.68053818,13,3
6.1,5,-74.001977,40.750603000000005,-73.99118299999999,40.739432,17,5
13.5,1,-73.99691999999999,40.737111999999996,-73.973293,40.755237,13,6
4.5,1,-74.000522,40.74674,-74.00099200000001,40.73919,9,5
13.5,1,-74.012773,40.716592999999996,-73.986935,40.742435,13,6
8.5,1,-73.97317505,40.76428604,-73.98976898,40.77287674,23,4
38.33,1,-73.99198,40.73839,-74.01126,40.6407,1,5
4.5,1,-73.970998,40.783421000000004,-73.962567,40.77623,6,0
14.0,1,-73.96287099999999,40.758478000000004,-73.97635799999999,40.788532000000004,12,0
29.5,1,-73.87094,40.773732,-73.777715,40.734727,8,1
7.0,1,-73.978038,40.777305,-73.968942,40.768512,12,6
18.5,1,-73.951683,40.781253,-73.984937,40.747954,11,2
7.0,1,-73.97649799999999,40.780952,-73.982473,40.762471000000005,15,0
8.0,3,-73.98589399999999,40.757386,-74.004958,40.740528000000005,0,4
6.5,1,-73.97515200000001,40.787757,-73.956907,40.78033,8,2
10.1,2,-73.98097800000001,40.734195,-73.95673199999999,40.77579,19,0
6.9,2,-73.974693,40.755904,-73.982179,40.762881,3,4
4.1,1,-73.94039699999999,40.793395000000004,-73.947968,40.78302,14,4
5.7,2,-73.978268,40.760081,-73.991162,40.751075,18,0
16.5,4,-73.974288,40.793942,-73.99358199999999,40.752182,13,5
18.0,1,-74.00781500000001,40.711737,-73.971806,40.752168,20,5
12.0,1,-74.009885,40.712443,-73.98047700000001,40.733725,12,1
15.5,1,-73.98423767,40.7699585,-73.98413086,40.75698853,20,5
4.0,2,-73.970437,40.793917,-73.96629,40.800767,23,4
9.5,1,-74.002702,40.728691999999995,-73.977672,40.755559999999996,8,3
4.0,1,-73.95051,40.777468,-73.94579300000001,40.773619000000004,10,2
5.5,1,-73.98859300000001,40.72263,-73.98137,40.716547999999996,22,0
10.5,1,-73.875315,40.7627,-73.866355,40.736445,18,0
8.1,1,-73.982292,40.767117999999996,-73.949888,40.772262,22,4
3.5,1,-73.949454,40.785137,-73.942972,40.787501,18,5
8.5,2,-73.963062,40.762377,-73.98665,40.758607,18,1
7.7,5,-73.984018,40.746367,-74.004568,40.740587,22,2
11.5,5,-73.992665,40.758016999999995,-73.986522,40.730187,21,4
6.1,1,-73.98744,40.744487,-73.975092,40.758587,9,2
5.0,1,-73.99036,40.756207,-73.98186700000001,40.759842,7,4
9.0,5,-73.95085999999999,40.779171999999996,-73.966505,40.789142,0,1
5.3,1,-74.001075,40.746846000000005,-73.998226,40.756001,19,3
24.5,1,-73.97992099999999,40.76174,-73.956288,40.711726,14,3
8.5,1,-74.00184499999999,40.749251,-73.98786,40.752801,20,3
9.7,1,-74.010778,40.703367,-73.987482,40.720301,22,3
8.5,1,-73.955987,40.767742,-73.97402,40.75111,19,1
10.0,1,-74.003277,40.732746999999996,-74.013972,40.709635,22,1
12.0,1,-73.994079,40.751181,-73.958191,40.764598,17,2
6.5,1,-73.98787,40.728761,-73.992612,40.721362,7,0
16.5,1,-73.98812,40.732162,-73.985157,40.763365,18,2
9.7,1,-73.95361899999999,40.79087,-73.944121,40.806275,16,6
8.1,1,-73.98680300000001,40.761328999999996,-73.966157,40.789755,12,2
4.5,1,-74.00271,40.728522,-73.993545,40.730505,18,0
13.5,1,-73.996375,40.753112,-73.99249,40.730335,0,3
9.0,1,-73.994833,40.746355,-73.979879,40.753013,11,4
19.0,1,-74.00180054,40.740345,-73.96602631,40.771541600000006,9,4
4.9,5,-74.006927,40.71803,-74.008503,40.711079999999995,16,4
10.1,2,-73.987858,40.764672,-73.950717,40.778938000000004,11,1
5.3,2,-73.995425,40.727202,-74.009817,40.72679,9,6
8.5,1,-74.005739,40.750965,-74.014599,40.714121999999996,8,6
7.3,1,-73.990887,40.717507,-73.984596,40.736358,8,2
7.3,1,-73.997827,40.725797,-73.97460799999999,40.736213,0,0
9.5,1,-73.98193,40.7778,-73.961017,40.801555,13,3
27.7,1,-73.988765,40.731434,-73.825973,40.712095,17,1
6.0,2,-73.985426,40.778359,-73.97071700000001,40.7892,12,2
4.5,1,-73.95546800000001,40.787707,-73.94917199999999,40.785157,20,3
37.0,5,-73.99002,40.736979999999996,-73.92376999999999,40.806940000000004,19,2
2.9,1,-73.993277,40.752248,-73.990348,40.756347,21,3
16.5,1,-73.973732,40.794587,-73.97036800000001,40.752072,18,2
6.0,2,-73.984332,40.725007,-73.990223,40.714552000000005,8,4
9.5,1,-73.98326,40.744428000000006,-73.976615,40.765060999999996,23,4
31.0,1,-73.862798,40.768932,-73.97446,40.756603999999996,20,3
4.5,1,-73.95570500000001,40.785022999999995,-73.954296,40.778867,22,2
6.0,2,-73.97837,40.745498,-73.987466,40.753992,18,0
23.0,1,-74.00846863,40.70769119,-73.9773407,40.75690079,12,6
9.7,1,-73.992399,40.756356,-73.982342,40.731502,14,6
7.0,1,-73.991327,40.749767,-73.983775,40.758927,19,3
39.7,2,-73.870847,40.773775,-73.980194,40.772096999999995,14,0
8.5,1,-73.98926,40.736305,-73.97913,40.753512,17,6
5.5,1,-73.987569,40.738509,-73.99902800000001,40.729865000000004,8,2
17.5,1,-73.94923401,40.78178787,-74.00221252,40.75562286,13,4
6.0,1,-73.99588,40.767265,-73.982022,40.763557,14,4
29.44,1,-73.981622,40.781136,-73.905079,40.887869,15,5
11.3,3,-73.95594100000001,40.779465,-73.98886800000001,40.736767,17,6
19.0,1,-74.003805,40.725512,-73.935015,40.704584999999994,22,2
6.5,1,-73.960217,40.775515999999996,-73.97270400000001,40.75658,18,3
10.0,5,-73.994575,40.745335,-73.983627,40.73002,22,4
33.8,6,-73.989195,40.747132,-73.863445,40.767392,20,1
8.1,1,-73.99310600000001,40.743064000000004,-73.98774399999999,40.770371000000004,3,4
9.7,1,-73.95361700000001,40.779275,-73.94955,40.81235,13,1
57.33,1,-73.96455,40.79701,-73.78301,40.64387,23,4
7.5,1,-73.95618499999999,40.763382,-73.981082,40.773396999999996,23,3
7.3,2,-73.96360200000001,40.7677,-73.953187,40.785978,10,5
12.0,3,-73.985268,40.768577,-74.003951,40.748121999999995,9,4
12.5,2,-73.98056,40.782328,-73.95241899999999,40.789765,15,4
49.57,1,-73.975649,40.764466,-73.788753,40.642024,12,5
7.3,1,-73.986891,40.739668,-74.004052,40.727967,12,2
10.5,5,-73.963142,40.799003000000006,-73.957473,40.773868,3,4
11.3,3,-73.972993,40.746615000000006,-73.99400200000001,40.717995,18,6
30.9,1,-73.862953,40.769071000000004,-73.989947,40.757308,15,5
7.0,5,-73.99255500000001,40.74948,-73.996972,40.762871999999994,19,5
8.5,2,-73.970513,40.753265,-73.991485,40.760093,15,0
13.0,1,-73.986202,40.750617,-73.953855,40.774923,12,5
9.5,1,-73.982072,40.77369,-73.960387,40.77982,23,3
4.5,1,-74.005572,40.740642,-74.00271500000001,40.74797,10,6
11.5,1,-73.985615,40.762764000000004,-73.952439,40.792327,8,1
14.0,1,-73.977889,40.752336,-74.007452,40.732960999999996,22,3
